 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	tnwillia
Date:	1/19/2012 1:36:42 PM
StationID:	4069500
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
6/8/2008	617.103923024708	58.7558845923303	2.08647209909136E-05	0	0.00135742192172868	0.00120960136755684	4.20604945933637	49.2971445450569	0.000893790214054253	0	4.38829378364124
6/9/2008	808.40535847772	59.8351496964419	0.0502372463477222	0.000200732324190244	0.0465546084602227	0.105253095127248	3.8898639113921	58.0503670850598	0.148115958504625	0	17.2019713873861
6/10/2008	657.935501516255	61.3642111082483	2.28076745564523E-06	0	0	0	3.38563836601677	54.7548881456475	0	0	0.0892531632371202
6/11/2008	622.07734085811	61.0166961341593	1.03546682290992E-10	0	0	0	2.71671503004926	53.0212904751341	0	0	0.296295446563475
6/12/2008	659.821195729476	59.9789805351062	0.00267028681396015	0	0.0141987480115715	0.0196779704247417	2.96131568003821	54.9972814740956	0.00144583406094856	0	5.27724317751733
6/13/2008	1032.02282585172	63.6079386584467	0.0647568122503549	0.0327016417905803	0.0504274317359856	0.135976825193511	4.0367549676717	65.0256769518917	0.00448846355891249	0	19.8794031522416
6/14/2008	709.118170453247	64.3245601133511	2.93995472781001E-06	0	0	0	3.25990238109027	61.7666567759265	0	0	0
6/15/2008	662.531038028738	63.8046853298778	1.33473738147389E-10	0	0	0	3.37971778692476	60.2473116042415	0	0	1.18093554995961
6/16/2008	692.437726655793	62.3832464191405	0.00118745475914113	0	0.00974381995730328	0.012878912969878	2.53572271036631	61.6579896790694	0.000764611175678731	0	4.03532052495892
6/17/2008	671.521770589474	62.183576116698	5.39103626612123E-08	0	0	0	2.55796281626373	59.3042887935526	0	0	0.203566410111019
6/18/2008	642.980977975112	61.7282713088749	2.44752667828823E-12	0	0	0	2.57307295825661	57.2218733273935	0	0	0
6/19/2008	628.741243465071	60.8571323974356	1.11117539286208E-16	0	0	0	2.99345135705241	54.7647940865904	0	0	0
6/20/2008	612.358161843388	60.0075250278748	5.04472847898446E-21	0	0	0	3.51364658991791	51.8690409158224	0	0	0
6/21/2008	597.402765138609	59.1572284110527	2.29030318616879E-25	0	0	0	3.65635760687101	49.2114204289299	0	0	0.399927536145986
6/22/2008	590.467590841366	58.3823673824363	1.03979603786807E-29	0	0	0	3.07604065897299	47.791568300201	0	0	1.12708970569383
6/23/2008	630.47253468598	57.8038253099842	0.00475299871874903	0	0.0184076568093044	0.0184386547788012	2.93043413562418	50.2497622145478	0.00165117574575084	0	6.11211151456426
6/24/2008	605.527331876443	57.8416155997058	2.15785807992282E-07	0	0	0	3.71342484521085	46.5373464795436	0	0	0
6/25/2008	577.644963322892	57.4985882487979	9.79666052658127E-12	0	0	0	4.17795926664364	42.9630673542504	0	0	0
6/26/2008	566.191924383234	56.8066236392922	4.44767699814148E-16	0	0	0	4.70218515925877	39.0057052754301	0	0	0
6/27/2008	553.86201558248	56.1163965227561	2.01924223321678E-20	0	0	0	4.49153581578963	36.5249691872323	0	0	0
6/28/2008	587.31472103545	55.1950474110187	0.00253601454505016	0	0.0138674776580695	0.013052675988393	4.00655893874197	38.7691942080405	0.00218860004521915	0	6.25655033167283
6/29/2008	594.894458036403	55.3469251862695	0.00325488259709966	0	0.0155363601879505	0.0149611885856718	3.01073898097279	40.5069473489613	0.0101748433172008	0	5.59107167120057
6/30/2008	574.499967693988	55.3575246910817	1.47771441293318E-07	0	0	0	3.27252817879006	37.3887892353559	0	0	0.15349262540799
7/1/2008	550.803054587724	55.0578841944958	6.70881305561468E-12	0	0	0	3.70325644573598	35.0157055609727	0	0	0
7/2/2008	540.692817575219	54.5319411450559	3.04579641514897E-16	0	0	0	4.09986625127827	32.5714771183157	0	0	0
7/3/2008	676.022237685064	54.8966371263473	0.0319909643856713	0.00878411733612909	0.0399092917973674	0.0545991103576269	2.96134916753583	39.962818665463	0.00960394818834845	0	12.8499027965495
7/4/2008	571.500762963444	55.1267904166978	1.4523875361439E-06	0	0	0	3.23403845438104	36.7296339143644	0	0	0
7/5/2008	547.073688091196	54.8298083787365	6.59382921288807E-11	0	0	0	3.47304370791695	33.7667462415662	0	0	0
7/6/2008	539.404644172681	54.3091127911069	2.99359383131125E-15	0	0	0	3.72713174667522	31.2154369967088	0	0	0
7/7/2008	532.869043084468	53.826267848208	1.35908949679002E-19	0	0	0	4.8179363670202	28.5463130060955	0	0	0.0970871004446862
7/8/2008	522.394805422015	53.3651695287654	6.17025676951151E-24	0	0	0	4.89815654740578	28.946390135881	0	0	4.31224547723951
7/9/2008	539.361672220544	52.876979256266	2.80129223952201E-28	0	0	0	3.35996197924978	27.9307265359689	0	0	0
7/10/2008	521.043190339342	52.5803049721442	1.27178470918649E-32	0	0	0	3.6618483703294	27.1632981915511	0	0	0
7/11/2008	514.658473428061	52.1730996918155	5.77389364700502E-37	0	0	0	3.80541667963156	26.7591471381823	0	0	1.14777682700622
